Year,Make,Model,Engine_Size,Mileage,Transmission,Fuel_Type,Owner_Type,Price
2019,Toyota,Camry,3.5,3860,Automatic,Electric,First,22217.57
2019,Toyota,Camry,2.5,90498,Manual,Petrol,Third,10445.15
2018,Toyota,Camry,4.0,3769,Manual,Hybrid,Second,15873.06
2017,Toyota,Camry,1.8,56707,Manual,Diesel,First,10139.07
2024,Toyota,Camry,1.8,109970,Automatic,Electric,Second,19155.08
2015,Toyota,Camry,3.5,59886,Manual,Hybrid,First,12367.08
2015,Toyota,Camry,4.0,6890,Automatic,Petrol,First,13343.83
2016,Toyota,Camry,3.5,123174,Manual,Electric,First,12980.52
2020,Toyota,Camry,2.5,83077,Automatic,Hybrid,Second,14065.27
2018,Toyota,Camry,5.7,81953,Manual,Diesel,First,17694.67
2014,Toyota,Camry,2.0,74211,Manual,Diesel,Second,5622.25
2020,Toyota,Camry,5.7,129678,Manual,Petrol,Second,14166.23
2020,Toyota,Camry,4.0,26247,Automatic,Diesel,Third,14280.71
2024,Toyota,Camry,3.5,11571,Automatic,Petrol,First,25238.57
2013,Toyota,Camry,1.8,43774,Automatic,Hybrid,First,10112.95
2015,Toyota,Camry,2.5,15666,Automatic,Diesel,Third,9642.99
2022,Toyota,Camry,1.8,55251,Automatic,Petrol,Second,14628.29
2020,Toyota,Camry,4.0,99354,Manual,Hybrid,Second,14595.26
2023,Toyota,Camry,2.5,73592,Automatic,Petrol,Third,14589.02
2022,Toyota,Camry,5.7,93982,Automatic,Petrol,Third,16390.95
2022,Toyota,Camry,2.0,26419,Automatic,Electric,Third,17170.9
2016,Toyota,Camry,5.7,83356,Automatic,Electric,First,20500.82
2023,Toyota,Camry,4.0,36827,Automatic,Hybrid,Third,17824.54
2014,Toyota,Camry,2.0,67044,Manual,Petrol,First,5266.66
2018,Toyota,Camry,3.5,98259,Manual,Hybrid,Second,12236.02
2019,Toyota,Camry,3.5,24976,Automatic,Diesel,First,19126.67
2013,Toyota,Camry,1.8,69842,Manual,Petrol,First,2000.0
2017,Toyota,Camry,1.8,101098,Manual,Hybrid,Third,8112.94
2023,Toyota,Camry,5.7,64087,Manual,Hybrid,First,25130.06
2022,Toyota,Camry,3.5,86211,Manual,Electric,Second,18807.5
2015,Toyota,Camry,1.8,70172,Automatic,Hybrid,First,10655.53
2013,Toyota,Camry,1.8,129354,Manual,Diesel,First,2590.09
2024,Toyota,Camry,2.0,107095,Manual,Hybrid,Third,15224.2
2023,Toyota,Camry,1.8,28342,Manual,Hybrid,First,21983.06
2016,Toyota,Camry,2.0,68733,Manual,Electric,Third,8591.41
2015,Toyota,Camry,3.5,5811,Automatic,Hybrid,Third,11138.18
2022,Toyota,Camry,2.5,98742,Automatic,Hybrid,Third,14724.53
2019,Toyota,Camry,2.0,14111,Automatic,Electric,First,19812.34
2021,Toyota,Camry,2.0,50254,Automatic,Diesel,Second,15785.53
2022,Toyota,Camry,1.8,19371,Manual,Petrol,Second,13686.61
2013,Toyota,Camry,5.7,129603,Automatic,Petrol,Third,5942.98
2015,Toyota,Camry,2.5,7499,Manual,Diesel,First,10348.09
2020,Toyota,Camry,3.5,15874,Automatic,Hybrid,Second,19532.38
2021,Toyota,Camry,2.5,5200,Automatic,Diesel,Second,18832.43
2014,Toyota,Camry,2.0,5869,Automatic,Hybrid,First,13326.29
2013,Toyota,Camry,5.7,94412,Manual,Hybrid,Third,7718.69
2015,Toyota,Camry,1.8,73271,Automatic,Hybrid,Third,6636.11
